R5428,R9215
R6949,R7847
R4895,R2134
R8743,R7862
R7293,R8152
R4225,R9398
R5395,R5872
R5757,R6308
R7719,R8810
R6723,R9842
R2146,R4140
R5603,R2390
R6336,R2856
R6919,R4702
R1967,R6064
R1263,R1214
R6787,R1261
R9551,R3580
R9870,R8772
R2059,R5604
R3164,R4530
R4946,R7208
R5982,R6001
R7137,R4469
R4929,R8719
R2379,R1813
R7194,R5521
R8137,R5120
R6313,R6359
R2324,R7061
R6326,R9589
R3651,R6632
R4697,R9390
R7055,R2246
R9903,R3208
R1686,R6168
R6279,R7072
R8328,R9683
R1188,R1189
R7417,R3181
R8478,R9641
R8538,R3481
R1101,R1753
R3834,R5582
R4848,R3664
R4306,R8928
R1927,R1841
R9528,R7258
R8643,R3684
R6263,R5808
R9403,R9508
R3530,R9047
R4316,R1843
R2522,R4092
R4417,R4871
R9021,R9923
R3832,R4971
R5778,R3848
R4164,R3192
R7587,R8555
R1193,R5377
R6132,R7418
R3096,R1877
R7925,R1039
R4747,R8194
R1646,R1230
R8292,R1584
R6778,R2300
R7707,R4610
R1051,R9299
R1974,R6628
R5729,R8571
R2001,R3045
R7549,R7831
R9890,R9984
R2814,R6172
R5990,R2418
R7798,R2173
R2528,R7592
R6540,R5724
R2155,R4362
R8285,R5067
R5743,R6736
R9757,R7623
R3763,R8382
R6158,R5971
R2534,R6097
R1332,R3578
R9954,R2725
R3550,R6711
R6634,R8065
R3126,R7195
R6700,R1499
R3789,R7732
R6426,R7377
R1447,R3174
R8672,R8862
R4576,R7641
R4885,R7292
R7504,R1644
R7520,R1462
R3899,R8662
R4906,R5371
R2731,R9460
R3711,R5899
R5308,R3556
R9938,R8278
R1381,R5609
R6585,R4587
R2599,R7952
R6467,R7670
R1908,R8251
R8693,R3740
R2007,R2121
R1941,R2679
R8247,R7830
R1421,R2375
R1001,R5992
R2939,R8350
R9464,R9058
R5925,R1321
R7171,R6167
R2759,R8582
R7700,R6638
R3546,R1492
R1576,R2979
R4957,R5981
R5434,R7164
R7249,R6572
R3986,R8795
R8755,R9134
R9477,R4224
R2771,R2488
R8199,R4147
R8666,R9877
R7758,R1559
R3161,R6594
R9407,R5252
R7162,R7986
R9526,R4354
R3853,R6780
R6649,R7304
R4476,R2523
R4695,R1485
R9531,R3330
R8377,R1446
R4837,R3295
R4388,R9192
R3555,R4124
R3897,R7487
R6080,R2119
R8651,R7864
R4143,R1018
R7854,R1768
R7105,R4126
R4162,R1123
R9343,R9606
R2730,R1814
R5692,R4558
R6703,R8925
R6297,R6420
R3699,R5248
R8617,R6508
R8977,R4898
R9609,R2531
R2127,R9909
R9611,R4722
R6146,R4327
R1127,R1833
R7127,R1570
R6938,R1864
R7493,R9113
R3371,R1853
R7940,R1976
R9708,R7744
R5939,R5648
R2959,R4993
R1313,R7556
R9450,R6627
R6456,R7532
R8101,R5703
R3378,R8358
R4613,R2912
R7134,R5161
R5243,R8766
R7474,R7337
R9154,R7373
R9260,R4592
R6784,R1036
R8681,R4634
R1288,R9287
R5093,R9884
R8109,R7380
R8189,R8454
R8324,R6808
R6828,R6794
R5713,R5488
R7827,R8783
R2514,R1318
R1729,R3239
R3319,R8812
R7576,R5298
R7278,R1850
R5754,R8019
R4642,R3300
R6801,R9875
R6579,R7442
R9392,R6216
R7511,R8813
R8505,R7047
R5658,R9889
R8455,R4381
R2791,R7672
R1395,R4030
R5683,R8341
R8252,R6789
R3512,R8640
R8348,R3966
R9261,R7844
R4370,R9593
R3622,R9815
R9141,R7124
R4187,R8767
R4937,R3141
R9898,R3176
R3338,R6176
R1731,R3087
R4085,R5942
R3004,R9223
R6660,R1171
R6282,R5814
R5189,R6895
R4901,R3419
R7484,R1296
R7338,R6140
R1828,R2395
R9057,R4360
R3455,R8320
R6399,R9393
R2907,R7432
R5849,R5783
R8771,R7275
R7972,R3721
R6741,R6616
R6177,R2016
R2713,R8369
R5404,R8037
R5769,R4206
R7345,R1966
R6441,R9476
R4014,R1396
R4552,R8003
R1013,R9617
R4942,R6388
R7561,R6342
R4591,R1204
R4861,R5309
R6218,R6699
R7948,R5696
R3388,R1708
R1640,R4116
R4891,R3441
R5847,R6451
R3367,R6289
R1026,R9251
R6994,R9018
R6513,R4152
R6041,R3184
R6028,R9790
R8118,R1626
R6142,R5246
R2251,R3805
R1418,R2055
R4166,R8990
R2490,R6569
R6286,R6445
R8602,R4518
R3272,R7686
R3446,R7869
R6991,R7920
R1479,R1466
R4154,R4341
R4078,R3821
R2052,R1195
R8208,R9064
R3691,R6247
R6287,R2656
R2758,R6631
R8577,R4728
R5497,R2818
R6953,R9733
R6212,R8479
R3727,R7074
R8769,R3218
R9302,R7067
R7720,R5177
R7213,R6606
R4046,R7476
R1795,R2699
R9143,R3535
R9792,R4553
R5654,R3298
R9191,R4829
R1839,R2665
R2525,R4427
R3443,R8523
R6970,R5159
R1438,R3595
R1120,R7923
R6422,R8631
R8427,R8209
R4080,R5192
R2288,R5087
R8095,R3090
R1943,R5605
R2213,R4465
R1425,R1264
R3516,R3566
R3621,R3364
R2207,R2739
R6184,R5919
R8432,R7674
R7569,R3936
R9782,R9367
R5455,R4086
R5762,R7679
R7914,R9897
R2871,R6737
R8611,R3431
R6162,R1149
R6457,R8581
R6530,R4730
R3293,R8399
R1095,R9746
R3289,R8566
R7426,R7097
R3654,R2475
R4331,R8116
R3040,R4572
R5116,R7527
R4486,R6067
R9025,R4412
R2225,R4809
R2611,R2036
R4711,R4273
R3496,R5923
R3151,R7902
R4138,R8569
R4978,R2240
R8546,R2652
R8205,R2067
R5425,R3782
R9090,R5550
R3049,R3092
R2865,R7155
R7989,R7891
R9122,R6227
R5128,R5915
R5846,R8314
R2412,R3439
R4009,R2441
R9847,R3655
R5813,R2989
R8516,R4011
R8859,R8445
R5009,R7660
R5949,R9820
R3562,R1338
R3065,R9775
R9152,R7814
R8833,R1858
R3168,R3661
R1872,R9077
R6603,R5928
R6947,R1578
R2738,R3825
R9693,R1663
R9556,R5342
R7757,R2822
R4300,R9542
R6843,R4619
R4513,R9825
R6148,R1774
R5707,R6392
R1465,R1311
R8515,R3062
R5542,R7701
R4263,R1050
R9289,R2838
R7656,R1616
R2099,R5343
R2984,R2843
R4485,R4202
R3813,R2354
R9883,R2337
R5035,R8319
R9056,R4250
R2550,R6851
R8947,R3291
R2604,R3121
R2230,R4847
R1672,R5631
R6532,R7247
R1696,R4940
R6922,R1901
R5468,R9691
R1635,R6863
R5074,R1765
R1595,R8561
R5134,R2014
R2263,R6470
R6021,R1969
R5854,R3110
R8793,R8991
R7987,R8353
R8932,R9201
R3224,R8381
R5454,R2409
R4886,R3946
R2151,R8021
R2177,R5060
R1790,R3941
R2837,R2326
R5185,R3399
R5610,R5694
R9761,R3826
R6115,R5126
R9623,R7605
R3134,R4708
R6739,R5195
R4919,R8206
R7254,R7793
R8058,R7780
R4560,R8467
R1361,R6893
R4736,R7689
R4286,R1676
R7323,R4523
R9913,R2848
R5562,R4748
R6497,R7957
R8056,R3249
R4236,R9200
R8161,R8253
R1115,R4473
R6965,R5820
R1869,R7421
R8433,R6081
R3337,R3629
R5322,R6030
R8177,R8502
R3917,R9197
R3552,R1202
R1596,R9311
R1387,R1730
R2674,R5945
R6112,R2419
R5490,R2841
R6407,R4851
R6131,R8198
R7486,R5536
R4955,R7299
R4488,R1801
R6464,R7809
R1741,R7217
R6022,R4378
R4496,R5698
R2205,R2190
R5906,R9296
R8567,R9067
R4958,R2991
R8801,R2060
R6285,R8844
R4008,R9112
R3933,R2003
R6438,R3553
R4692,R7166
R4510,R7096
R6215,R3345
R5469,R1898
R6759,R9071
R9478,R3669
R6290,R7189
R7058,R3571
R1200,R5774
R8779,R7152
R8527,R3810
R7747,R4626
R3127,R7823
R3802,R2696
R4032,R5911
R6658,R5150
R4575,R7908
R9449,R3479
R7225,R1032
R3618,R5359
R7786,R7841
R5817,R2686
R8690,R8980
R3686,R4792
