jobname,money,company_name,p_bot,industry,job_bt
机器学习研发工程师,30k-55k,美团点评,"30k-55k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

职位描述：工作职责：结合新美大的技术和产品，开发和打磨特定的机器学习算法。职位要求：1. 理工类211、985本科及以上学历；2. 熟练掌握数理统计和机器学习的基础理论和方法，能从海量数据中发现规律；3. 在一个或多个领域有相关项目经验：数据挖掘、自然语言处理、图像处理、分布式计算、GPU并行计算等；4.熟练掌握c/c++、python/perl/shell等语言编程、及数据结构基础算法；5. 优秀的分析和解决问题的能力，对解决具有挑战性问题充满激情。


"
机器学习/数据挖掘工程师,20k-40k,百度,"20k-40k,经验不限,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

工作职责
-负责路线检索和排序的合理性 
-分析现有召回和排序模型，提升路线规划合理性 
-挖掘路线权重、用户偏好，优化现有排序模型 
-挖掘和学习用户行为，提升推荐的满意度

任职资格
-计算机、或其他信息类专业的本科及以上学历 
-熟悉数据挖掘、机器学习算法，有2年以上相关经验
-熟悉linux、C/C++编程，python、shell或其他脚本语言 
-优秀的逻辑分析和总结能力，善于解决问题和分析问题 
-对工作有责任心，良好的沟通和团队合作能力

"
资深机器学习工程师,40k-80k,心知科技,"40k-80k,经验3-5年,本科","企业服务,数据服务 / A轮","
职位描述：

# 关于我们 #
心知科技是一家专注于处理和计算自然界大数据的公司。我们利用大数据和人工智能技术分析海量的自然界大数据，帮助企业降低风险、提高收益，把控天气与环境变化带来的机遇和挑战。

# 工作内容 #
利用机器学习/深度学习建立业务预测模型，指导客户决策；
利用机器学习/深度学习进行天气预测和优化。

# 职位要求 #
数学、统计学、计算机背景；
熟练掌握机器学习算法原理；
优秀的编程能力，精通Python或R等。熟悉主流深度学习工具TensorFlow/Caffe/MXNet等；
利用机器学习/深度学习解决过实际自然科学问题或商业问题优先；
对工作追求卓越，相信“认真你就赢了”。

# 当你加入这个团队 #
可以和来自微软、SAP、亚马逊等公司的精英们碰撞；
体验创业公司独有的工作模式和文化，享受硅谷式的弹性工作时间；
除了基础的五险一金，我们还有：
年度至少14薪，并有机会获得股票期权
已认证为高新技术企业，可办理《北京市工作居住证》
中关村最高端的写字楼和办公环境，地下餐厅、电影院、健身房一应俱全
免费自助午餐、免费零食饮料投喂
租房补贴
Macbook Pro + 专业显示器
每周羽毛球
生日礼物
年度体检、商业医保等等~
当然最重要的是，和我们一起让人们站在上帝视角认知地球！

"
高级视觉设计师,18k-35k,拉勾网,"18k-35k,经验3-5年,本科","企业服务,招聘 / D轮及以上","
职位描述：



你来拉勾做什么
- 对接拉勾网市场/运营/商服的日常专题（活动）设计需求；
- 探讨适合拉勾的视觉调性和主导大型活动的视觉设计；
- 在拉勾品牌调性的基础上与各部门完美协作，优化拉勾对外视觉产出质量；
- 归纳设计内容，与团队一起创造设计影响力，用设计正面提升拉勾品牌形象。

你需要具备的职业素质
- 优秀的设计功底，不错的手绘能力，能驾驭各种设计风格；
- 丰富的互联网设计经验且有拿得出手的高质量完整项目作品；
- 具有敏锐的设计嗅觉，热爱设计富有责任感；
- 良好的表达沟通能力／归纳总结能力／团队协作精神；
- 认同拉勾价值观：结果导向、快速执行、自我驱动；

拉勾能给你的
- 互补型团队成员，简单的人际关系，闪光点的碰撞和磨合；
- 自由开放的工作环境（有多自由你来了就知道）；
- 包中餐、晚餐、下午茶水果；
- 六险一金以及年终奖励、期权激励；


* 投递简历请附带作品或作品链接，无作品不决策，谢谢理解；
* 本岗位与UI设计无重叠，请UI设计师谨慎投递；本岗位只招高级视觉设计师，请初中级设计师谨慎投递，谢谢。


"
机器学习工程师,25k-50k,京东金融,"25k-50k,经验3-5年,本科",金融 / 上市公司,"
职位描述：

岗位职责:
1、参与基于大数据的分布式机器学习平台的设计与构建；
2、紧跟业界前沿,针对不断增长的业务需求和算法多样性创新提供技术解决方案；
3、对机器学习平台性能与可扩展性进行持续及深度优。

任职要求:
1、本科及以上学历,在机器学习框架、分布式系统方向有深入研究；
2、熟练掌握 Python/Java,熟悉多线程、协程、网络通信,熟悉MP|、CUDA等高性能计算框架；
3、熟悉 saiki-earn、 Tensorflow、 Sparkmlib等主流深度学习框架,并能灵活解决实际问题；
4、深刻理解机器学习流程及大数据处理技术,并能进行实现及运用到应用场景；
5、较强的学习能力,良好的技术方案规划和沟通能力。

"
机器学习研究员,25k-50k,联想集团,"25k-50k,经验3-5年,硕士","移动互联网,数据服务 / 上市公司","
职位描述：

工作职责：
负责机器学习领域的技术研发和前沿问题的探索与研究，包括但不限于统计学习、神经网络模型设计与优化、增强学习、迁移学习等，并结合企业实际应用场景，提供全面的技术解决方案。
负责利用相关机器学习算法对商务智能应用提供模型支持，包括供应链需求预测、库存及物流网络优化、智能定价、用户行为分析，异常检测等；
任职要求：
1.     计算机科学、电子工程、数学、统计学或其它人工智能相关专业博士，硕士，3年以上研发经验；
2.     对常见的机器学习算法有比较深入的理解，扎实的数据分析和建模能力；
3.     有机器学习、计算机视觉、自然语言处理、数据挖掘等领域企业的工作经验，在某个子领域有过较深入的建模经验积累，比如预测、聚类等；
4.     精通至少一种编程语言，包括但不限于Python，C/C++、C#、Java、R等；
5.     对常见的机器学习或深度学习架构（例如Tensorflow，Caffe，Torch或Theano等）源码有研究；良好的深度学习建模基础，对调参细节有清晰的把握；
6.     在计算机科学顶级会议和期刊如NIPS、ICML、CVPR、ICCV、AAAI、KDD、ACL、PAMI、IJCV等发表过论文者优先考虑；
7.     有较强的沟通能力，能够逻辑清晰地进行自我表达，团队合作意识强，与人沟通积极主动；

"
机器学习/深度学习平台优化工程师,20k-40k,猎户星空,"20k-40k,经验3-5年,本科","移动互联网,硬件 / A轮","
职位描述：

工作职责：
针对TensorFlow/MXNet等开源框架进行优化，将最新的研究成果应用到实践中
岗位要求：1. 熟悉linxu编程环境，有较强的开发能力(python/java，最好熟悉C++)2. 熟悉一种以上并行编程的框架，包括但不限于：Cuda/OpenMP/MPI等等。有FPGA经验更好。3. 熟悉性能调优的工具和方法4. 了解开源的深度学习框架，有过开发经验的优先5. 善于学习，有良好的沟通能力和团队合作精神

"
机器学习,12k-20k,客知音,"12k-20k,经验1-3年,本科","企业服务,移动互联网 / 天使轮","
职位描述：

我们是一家利用人工智能技术解决垂直领域问题的技术驱动公司。

“人工智能是不是未来”是个伪命题。“人工智能究竟在什么领域会率先落地”、“如何最快和最大程度地服务于人们生活和工作”，才是需要讨论的问题。我们正以实际行动给出我们的答案。

我们正处第四次工业革命的历史机遇期。第一次工业革命人类发明了蒸汽机，解放了人们的双手；第二次工业革命人类发明了电，发展了石油工业和内燃机，让人们可以快速地去到自己想去的地方，解放了人们的双脚；第三次工业革命是信息革命，人类发明了互联网，让千里之外的影音图像可以转瞬之间出现在人的眼前，解放了人的眼睛和耳朵；而第四次，人类找到了让机器“自我学习”的方法，旨在解放人的大脑，让机器替人类“思考”。

就像亚马逊不是搬到网上的沃尔玛，移动互联网不是电脑屏幕变小了的互联网一样，人工智能时代的产品功能、用户交互都将发生翻天覆地的变化。

如果你对开发一款人工智能产品感兴趣，或者对任何产品的“智能化”感兴趣，欢迎找我们聊聊，我们是这个领域的先行者，也总结了一些思路和经验希望和你分享。

# 工作职责

* 负责开发智能销售对话分析业务所需的线上服务
* 以后端开发工作为主，视兴趣和能力可以拓展到AI算法研究和开发
* 创造自动化工具，帮助数据科学团队伙伴提升研究效率

# 职位要求

* 愿意加入创业团队,有上进心,能承受高强度工作压力
* 大学本科学历，计算机科学、软件工程、信息学或相关专业
* 曾独立完成包含前端和后端的 Web 项目（个人项目亦可）
* 熟悉 Python 进行后端或算法开发
* 熟悉 Linux 开发环境，熟悉 Mysql, Redis, Mongodb 至少一种

# 加分项

* 有机器学习、数据挖掘方面学习或比赛经历
* 玩儿过函数式编程
* 研究过 DevOps
* 如有 GitHub 账号或技术博客，请在简历中写明

# 岗位诱惑

* 斯坦福、哥大、清华、北大等名校同事；
* 办公地点方便；东直门地铁站楼上就是；
* 自由开放、整洁温馨的办公环境；
* 公司气氛融洽；
* 免费午餐和晚餐；
* 水果零食；

# 关于我们

北京智合大方科技有限公司是一家新锐的人工智能创业公司。 智合大方科技产品“客知音”是国内首个销售对话智能分析系统。

客知音将销售对话转录成文字，并利用人工智能和大数据技术挖掘对话中的价值。客知音目前服务的客户主要在企业服务、金融和教育行业。我们和国内的多家呼叫中心系统和CRM厂商开展了不同层面的合作，协力为销售客户提供最完整的解决方案。

公司于2017年8月完成峰瑞资本数百万人民币的天使轮融资。

大牛手带 海量数据 机器学习 硅谷文化

"
机器学习工程师,15k-30k,中诚信征信,"15k-30k,经验1-3年,本科","移动互联网,金融 / 不需要融资","
职位描述：

岗位职责：
1）负责信贷业务数据处理、变量加工和建模等工作；
2）负责机器学习、深度学习领域的算法模型研究工作；
3）负责机器学习平台项目的技术研发，根据业务需求对相关工具、算法进行稳定性和性能优化。 
 
任职要求：
1）985硕士及以上学历，数学、统计、计算机等相关专业均可，理论基础好；；
2）熟悉常用的机器学习算法，如随机森林，GBDT，聚类等；
3）熟练掌握python编程语言，代码能力强，熟悉Java者优先录用；；
4）熟悉Hive、HBase、Storm、Spark等开源平台，有丰富的工程项目经验；
5. 熟悉神经网络、深度学习，有相关工作经验者优先。

公司简介：（ http://www.ccxcredit.com.cn/） 
    中诚信征信有限公司（简称“中诚信征信”）隶属于中诚信集团。在企业征信、个人征信、商业信息服务、市场调研咨询等领域，拥有十余年的丰富经验。公司始终坚守中立、客观、公正的理念，秉持专业、诚信、严谨的操守，做市场认可的独立第三方征信机构。    中诚信征信于 2014 年 6 月，率先获得全国企业征信业务经营备案资质，并于 2015 年 1 月，成为首批获准开展个人征信业务准备工作的独立第三方征信机构。作为第一批央行获得批准开展个人征信准备工作的民间征信机构，中诚信征信在商业利益驱动以外，希望能通过市场化行为和生活化应用让更多的人更好的了解个人信用的价值，促进我国社会化信用体系建设良性发展。
我们的优势 
 底蕴：隶属于中国最大的信用管理集团--中国诚信集团。
 资质：中国第一张企业征信牌照、首批个人征信准备工作牌照。
 专业：十余年征信行业领导者，持续专注于征信技术的研发。
 客观：坚持独立第三方定位，秉持客观中立原则。
 全面：线上与线下征信相结合，涵盖标准化与定制化服务。
 创新：中国首批互联网大数据征信的践行者。
我们的福利：
    我们不仅为员工提供优厚的福利保障，还致力于打造轻松、愉快的团队环境：
——按国家标准缴纳社保、公积金；
——年度14-15薪；
——扁平化管理，平易近人的领导团队；
——丰富的内、外部培训分享平台；
——每周五4点半下班，开启各类丰富有趣的团建活动；
——弹性的工作时间；
——免费午餐，更有多重美味的零食供以选择；
——位于东二环环境优美的独立四合院，紧邻地铁5、6号线东四站。

"
自然语言处理\机器学习\数据挖掘工程师要医疗背景,25k-35k,康夫子,"25k-35k,经验3-5年,本科","移动互联网,医疗健康 / A轮","
职位描述：

岗位职能：
通过NLP信息抽取、数据挖掘等技术，从海量病历、论文、医学电子书籍、网页中进行知识挖掘，根据应用需求设计并完善医学知识图谱；开发并完善基于知识图谱的CDSS(临床辅助决策系统)。

背景需求(满足其中一条即可)：
 (1) 具有医学信息学/生物信息学/临床医学学历背景；
 (2) 具有一年以上医学文本信息挖掘工作经验；
 (包括住院病历、医学文献、基因、蛋白结构等文本/字符序列信息挖掘)
 (3) 具有NLP信息抽取、知识图谱构建、工作背景；
 (4) 具有CDSS(临床辅助决策系统)核心功能开发经验；

技能需求：
（1）熟悉linux开发环境；
（2）熟悉常用基本数据结构、算法；
（3）熟练使用python语言(生物信息方向 perl语言也可)；

加分项：
(1) 熟悉常用机器学习、数据挖掘、NLP相关应用与算法
 (2) 熟练使用hadoop、spark等分布式存储计算工具

我们的亮点：
1、 技术背景：多位百度NLP大牛，内功深厚，领跑行业；
2、 医学背景：北大医学博士，从业多年，精准把握医疗痛点；
3、 资金背景：数千万A轮融资，未来几年吃喝不愁；
4、 薪资待遇：年中奖励，年底三薪，股票期权；
5、 团队氛围：人少精悍，低调务实，充分信任，珍惜人才；
6、 公司未来：人工智能+全科医生，热门中的热门。

"
机器学习研发工程师,25k-50k,数美,"25k-50k,经验1-3年,本科","企业服务,数据服务 / B轮","
职位描述：

360、小米、百度等顶级互联网公司联合投资，顶级大数据公司
 

岗位职责：
1、基于数美海量数据进行数据建模与分析
2、对海量数据进行feature selection, combination等feature engineering工作 
3、针对海量用户行为数据，构建用户兴趣属性，金融属性画像，欺诈属性等多维度画像 
4、基于海量画像数据，构建金融风控，互联网反作弊，精准营销，垃圾内容等模型和服务

职位要求：
1、硕士及以上学历，机器学习或统计学习建模领域拥有实际工作经验；
2、良好的逻辑思维能力，能够从海量数据中发现有价值的规律，熟悉大规模数据挖掘、机器学习等基本算法；
3、编程基础扎实，熟悉算法数据结构，有超过2年以上C++或Python开发经验  
4、有金融模型、广告算法、推荐算法等相关领域研究或实践经验者优先；
5、 踏实勤奋，自我驱动  
 

公司福利待遇：
有竞争力的薪酬
期权奖励
五险一金+商业保险
午餐+晚餐补助
交通+通讯+电脑补贴
结婚+生育+丧葬+住院礼金
伯乐奖金
年假8天起+带薪病假
年度体检、零食畅享、团队建设、生日会、弹性办公


数美领先的大数据技术、产品与服务提供商
我们正在经历一个IT到DT的变革时代。大数据已经渗透到各个环节，各个角落。
这个世界，就是掩藏在表象之下，被数据所揭示的世界！
数美依托积累的海量数据、科技前沿技术， 极致的工匠精神和对数据的深度理解，提供领先的大数据产品与服务。 
我们正在寻找不平凡的你，和我们一起“发现数据之美”
欢迎投递简历

【关于数美】www.ishumei.com
 【关于数美】数美（全称北京数美时代科技有限公司）成立于2015年6月，是一家专业的大数据科技公司。数美依托先进的核心AI技术和海量的数据基础，致力于解决多场景欺诈问题，为客户提供专业、可信赖的服务。团队均来自百度、阿里、腾讯、360、小米等顶尖互联网公司，在大数据、人工智能、机器学习、金融风控等领域有着丰富的实践经验。目前，业务已覆盖金融、支付、直播、社交、电商、O2O等为代表的多个行业领域，其中包括中信银行、用钱宝、人人贷、51信用卡、360、小米、58同城、爱奇艺、熊猫直播、花椒、唱吧等知名企业，截止到2017年6月，服务客户突破1000家。作为大数据反欺诈专业品牌，数美将持续挖掘数据价值，为金融机构、互联网企业提供智能、创新的一站式反欺诈综合解决方案

…………………………………………………………………………
了解更多
数美公司介绍
https://www.ishumei.com/aboutUs/introduction.html 
数美团队介绍
https://www.ishumei.com/aboutUs/team.html 
数美产品介绍
https://www.ishumei.com/product/creditFengkong.html 
数美解决方案介绍
https://www.ishumei.com/solution/finance.html 


"
机器人调试工程师,8k-15k,钢铁侠科技,"8k-15k,经验不限,本科",硬件 / A轮,"
职位描述：

工作需求(全职)：1. 1年及以上机器人领域相关工程经验。（在校也可）2. 熟练使用C/C++或者Python编程语言。 3. 具备较为扎实的电气知识。4.了解机器人控制系统，熟练使用相关电子测试仪器。

"
机器学习工程师,25k-50k,滴滴出行,"25k-50k,经验3-5年,本科",移动互联网 / 不需要融资,"
职位描述：


通过机器学习技术打造司机体验建模、乘客信誉建模、司机构成分类、乘客留存建模等技术，结合机制设计进行利益分配促成良性生态，打造出行平台的长期增长引擎。任职资格：1. 计算机或数学相关专业毕业，有扎实的数据结构和算法基础，或者有较好的数学功底；2. 编程基础扎实，熟练使用至少一种常用的编程语言，包括但不限于：C++、Python、Scala、Go、Java、Matlab；3. 在机器学习或数据挖掘方向有较强的积累，熟悉经典的算法并有实践经验，包括LR、SVM、GBDT、Reinforcement Learning、Deep Learning；4. 有学习热情，关注业界前沿技术，follow人工智能国际会议研究动态，不断提升自己在机器学习、运筹优化、机制设计、数理统计。


"
高级视觉设计师,15k-30k,一起作业网,"15k-30k,经验3-5年,本科","移动互联网,教育 / D轮及以上","
职位描述：

岗位职责：
负责一起作业中学产品的视觉设计工作，基于对用户及产品的良好理解能力，准确高效的输出符合业务诉求视觉设计
 独立完成视觉概念设计提案及视觉设计
 分析行业设计动态，准确把握产品设计风格并升级迭代，提高设计质量
 负责制定、完善、优化设计流程和视觉规范，并跟进实施推进团队的设计产出
 
岗位要求：
有成功的移动端产品设计案例
艺术设计、工业设计、视觉传达等相关专业本科以上学历优先，扎实的美术功底与审美水平，良好的手绘功底
三年以上UI设计工作经验，具备iOS、Android平台产品的设计经验和快速学习能力
对移动产品的整体风格、视觉流程、操作流程有细致到位的设计能力
 关注用户体验设计，丰富的设计理论知识和对流行趋势敏锐的洞察力
 良好的沟通能力、富有工作激情、创造力和高度责任感

"
机器学习/数据挖掘专家,20k-40k,天猫,"20k-40k,经验1-3年,硕士","移动互联网,电子商务 / 上市公司","
职位描述：

岗位描述:
结合阿里的大数据和算法能力，提供赋能商家或品牌进行客户运营以及uni-marketing品牌营销相关的个性化推荐、人群生成与洞察、销量与趋势预测、营销投放、customer journey设计、内容生成等决策与辅助工具。具体工作职责如下：

1. 算法需求开发与优化，包括但不限于推荐系统、运筹优化、文本挖掘、预测与决策等方向；
2. 透过数据分析与实验设计快速验证商业假设；
3. 深入业务挖掘有商业价值的算法应用并进行技术预研和原型开发；
4. 跟踪最新机器学习进展。

岗位要求:
1. 计算机、运筹优化、数学相关专业硕士以上学历，算法相关工作经验一年以上；
2. 熟悉 Java、C/C++、Python其中一种开发语言，有数据结构与算法的基础；
3. 深入了解机器学习算法如 LR、GBDT、SVM、RL、DNN、CNN、RNN中的一部分或全部，有一定广度；
4. 乐于深入业务，成为业务专家，并能把业务和技术做有机的结合；
5. 出色的沟通能力，能承受一定工作压力，喜欢自我驱动的工作，有ownership。

有以下经验者优先：
1. 广告或商业类算法项目的实际经验
2. 有搜索引擎、推荐系统、大规模机器学习框架、深度学习应用、运筹优化、NLP等项目的实际经验
3. 长期跟踪机器学习领域的研究论文

"
资深机器学习专家,30k-50k,美团点评,"30k-50k,经验3-5年,硕士","移动互联网,O2O / D轮及以上","
职位描述：

职位描述1.各类机器学习算法优化（数据、特征、模型、实时）2.增强学习、Online Learning建模和优化3. 业务问题分析、目标确定、评估方案，并能针对性建模和优化
职位要求1. 2年以上工作经验，计算机、统计、信息工程硕士以上学历2. 精通机器学习算法，丰富的数据分析、挖掘、建模经验3. 优秀的业务理解、目标制定、沟通能力4. 优秀开发能力（SQL/Java/Python/R/Scala等），熟悉大数据开发平台（Hadoop/Hive/Spark/Storm)5. 熟悉LR、RF、GBDT、FFM等算法优先

"
视觉技术部-产品经理,18k-36k,百度,"18k-36k,经验1-3年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

工作职责:
-负责百度视觉技术部嵌入式，视频，图像产品的建设和维护，参与重量级人工智能产品建设
-跟进产品上线进展，分析用户行为，收集用户反馈和运营需求，对产品进行持续优化和改进
-辅助内外部项目的需求分析、设计、实施落地等工作
-对行业内相关信息进行搜集与分析，掌握行业及竞争对手的发展趋势及动态
职责要求:
-本科及以上学历
-熟悉互联网产品，熟悉人工智能行业和产品
-有成功的互联网产品经历，有项目管理经验，有人工智能产品经验者优先
-熟悉计算机视觉产品，熟悉相关产品研发流程，有相关产品经验者优先
-积极主动，有高度的责任心、耐心，工作认真负责
-逻辑思维清晰，能敏捷的发现产品问题，并推动方案解决
-具有较强的学习能力、沟通能力及团队协助能力

"
机器学习研发工程师,25k-50k,数美,"25k-50k,经验1-3年,本科","企业服务,数据服务 / B轮","
职位描述：

360、小米、百度等顶级互联网公司联合投资，顶级大数据公司
 

岗位职责：
1、基于数美海量数据进行数据建模与分析
2、对海量数据进行feature selection, combination等feature engineering工作 
3、针对海量用户行为数据，构建用户兴趣属性，金融属性画像，欺诈属性等多维度画像 
4、基于海量画像数据，构建金融风控，互联网反作弊，精准营销，垃圾内容等模型和服务

职位要求：
1、硕士及以上学历，机器学习或统计学习建模领域拥有实际工作经验；
2、良好的逻辑思维能力，能够从海量数据中发现有价值的规律，熟悉大规模数据挖掘、机器学习等基本算法；
3、编程基础扎实，熟悉算法数据结构，有超过2年以上C++或Python开发经验  
4、有金融模型、广告算法、推荐算法等相关领域研究或实践经验者优先；
5、 踏实勤奋，自我驱动  
 

公司福利待遇
有竞争力的薪酬
期权奖励
五险一金+商业保险
午餐+晚餐补助
交通+通讯+电脑补贴
结婚+生育+丧葬+住院礼金
伯乐奖金
年假8天起+带薪病假
年度体检、零食畅享、团队建设、生日会、弹性办公


数美领先的大数据技术、产品与服务提供商
我们正在经历一个IT到DT的变革时代。大数据已经渗透到各个环节，各个角落。
这个世界，就是掩藏在表象之下，被数据所揭示的世界！
数美依托积累的海量数据、科技前沿技术， 极致的工匠精神和对数据的深度理解，提供领先的大数据产品与服务。 
我们正在寻找不平凡的你，和我们一起“发现数据之美”
欢迎投递简历

【关于数美】www.ishumei.com
      数美由百度、小米、360等顶尖互联网公司联合投资的大数据公司，致力于利用人工智能技术和海量数据解决金融、互联网等领域广泛存在的欺诈问题，先后推出了信贷反欺诈、内容反欺诈、行为反欺诈等系列产品，      
     目前已服务数百家客户，覆盖直播、金融、支付、社交、电商、游戏、O2O等行业。其中包括中信银行、360、小米、58同城、爱奇艺、酷狗、用钱宝、点融、挖财、闪银、熊猫TV、花椒、唱吧等知名企业，并与腾讯云、金山云、七牛云等云服务提供商展开深度合作。
    数美的创始人唐会军在搜索、安全、语音识别等大数据领域拥有十余年研发经验，曾历任百度系统技术负责人、360高级技术总监等职位。创始团队均来自百度、360、小米、宜信、FICO等知名互联网公司，数美核心团队是国内最早一批从事大数据平台与应用研发的团队，曾负责过的大数据平台规模居全球前十。国际顶尖反欺诈技术，拥有十余项专利，同时在安全，反作弊、推荐，广告，语音识别等领域有着丰富的大数据成功应用经验。
           www.ishumei.com

"
高级视觉设计师,15k-30k,一起作业网,"15k-30k,经验3-5年,本科","移动互联网,教育 / D轮及以上","
职位描述：

岗位职责：
 1.根据策划要求来制作教学产品趣味化学习界面和图标的绘制；；
 2.独立完成视觉概念设计提案及视觉设计；
 3.分析行业设计动态，准确把握产品设计风格并升级迭代，提高设计质量；
 4.按照项目进度按时按质完成工作；

岗位要求：
 1.有成功的移动端产品设计案例；
 2.有良好的造型能力和色彩感；
 3.三年以上UI设计工作经验，有扎实的美术功底与审美水平,良好的手绘功底。
 4.良好的沟通能力，抗压能力，富有工作激情、创造力和高度责任感。

"
