R29494,R28882
R98551,R69456
R27162,R38787
R50768,R69778
R87452,R41224
R13888,R83735
R94329,R82271
R23856,R70137
R47998,R53079
R25907,R57410
R26085,R53791
R69120,R32326
R24074,R76810
R75375,R46927
R23903,R14611
R47568,R47600
R75178,R39870
R78134,R82325
R20624,R74110
R70642,R71774
R19233,R14352
R98687,R46750
R44010,R69795
R70838,R22040
R45226,R14750
R41285,R97581
R69720,R26810
R80500,R78973
R40587,R42110
R71242,R84123
R40967,R69111
R29788,R11207
R46123,R70795
R21102,R11013
R31370,R97220
R88940,R23434
R57872,R94279
R67788,R72550
R18546,R33660
R40036,R99186
R58484,R29839
R16410,R75191
R55407,R84194
R99508,R90072
R58728,R99589
R45833,R65448
R87949,R68017
R88046,R40421
R94954,R28382
R69141,R47891
R21324,R69751
R38281,R97604
R92144,R45846
R16287,R10294
R42428,R43846
R58440,R42676
R26832,R60533
R73616,R28040
R23533,R15027
R30350,R26755
R72225,R99272
R80664,R16512
R77592,R84653
R92490,R95896
R68027,R35249
R76892,R78261
R41725,R14895
R61879,R66350
R68681,R31999
R67111,R69304
R33883,R79985
R45161,R89217
R69281,R29836
R71108,R89836
R59993,R90601
R14324,R59907
R24314,R27884
R25800,R81698
R76746,R56698
R16728,R80873
R84002,R40467
R28405,R19974
R95426,R65742
R75920,R59424
R50749,R72542
R22943,R59147
R99028,R33943
R65622,R13467
R28360,R93538
R77210,R34170
R36090,R48863
R51592,R78816
R12596,R66368
R19500,R39420
R16345,R94564
R14022,R90148
R23994,R29076
R82280,R15075
R86072,R82589
R54702,R48627
R48634,R19710
R19892,R87658
R19510,R23504
R71208,R21104
R38216,R62866
R46600,R51319
R43497,R91969
R78366,R60830
R11747,R93768
R29235,R59704
R13821,R66627
R30599,R87547
R23832,R34381
R97573,R56120
R75625,R44408
R85406,R23721
R90149,R16556
R55303,R13959
R94023,R21616
R58836,R53147
R24342,R46460
R67128,R91227
R64093,R31201
R74296,R40604
R17420,R10407
R56007,R57020
R12370,R12152
R57541,R78115
R71218,R31264
R82182,R55733
R71788,R70667
R33007,R17476
R37397,R53036
R82583,R47350
R37288,R44980
R20607,R37842
R11585,R48312
R56279,R44975
R90811,R34345
R12668,R47766
R63635,R45674
R67755,R39133
R74610,R30641
R35311,R44792
R11377,R51457
R61563,R98152
R80473,R19781
R11852,R88475
R54774,R23425
R37177,R52305
R39136,R22652
R69255,R57879
R52645,R51942
R72275,R75569
R81901,R19202
R41996,R83973
R61431,R64063
R18820,R29274
R42402,R31951
R68244,R25572
R10129,R91803
R52151,R47663
R35546,R77235
R31165,R63757
R60484,R68376
R11018,R94631
R56371,R10577
R28101,R32997
R67083,R12268
R92701,R37178
R87052,R76113
R85224,R34061
R62129,R23320
R66349,R96173
R26761,R21003
R41785,R15968
R61612,R29069
R38633,R75846
R79953,R81929
R88102,R56460
R28931,R64705
R70157,R43942
R66565,R91857
R91373,R60095
R78636,R92779
R87952,R46180
R89617,R70920
R67045,R97866
R14439,R73128
R61705,R91966
R30751,R67443
R29620,R85723
R24738,R19654
R74083,R43074
R34415,R94623
R98588,R33413
R43115,R89080
R55244,R73364
R19110,R82136
R90211,R53965
R65888,R92557
R75912,R72474
R63557,R56162
R42021,R84242
R64752,R24733
R98282,R35267
R58584,R76362
R91976,R58694
R78979,R77447
R31838,R57683
R99224,R31154
R11496,R25388
R14841,R43543
R26594,R65189
R15362,R85818
R63940,R12495
R82626,R55516
R19609,R27704
R72901,R14130
R90454,R19442
R48298,R62046
R57043,R48832
R54482,R89140
R55872,R55792
R52930,R93420
R40570,R16933
R22638,R35583
R43863,R72623
R48951,R12626
R61342,R11230
R37791,R12578
R41354,R24869
R24307,R38157
R88026,R84434
R81661,R71053
R70541,R25233
R62408,R23961
R24518,R17700
R51680,R36891
R89990,R25512
R68662,R74414
R76767,R24601
R96412,R66162
R94778,R18243
R56359,R88991
R30726,R80521
R53315,R14691
R58862,R51282
R41677,R16043
R30434,R72523
R96069,R18101
R85950,R15251
R16133,R84231
R17343,R54336
R84359,R43096
R34695,R47066
R28876,R75750
R14436,R14847
R15966,R12299
R83167,R30190
R96846,R95699
R65614,R98670
R45851,R38916
R78840,R41104
R41891,R86307
R77010,R58193
R19011,R16855
R96558,R41012
R14499,R43703
R92830,R15788
R10343,R74259
R17552,R83816
R82403,R25479
R50041,R87404
R12101,R22681
R11727,R60531
R54968,R70341
R23699,R60324
R62778,R50638
R46471,R83956
R62217,R50690
R15543,R81700
R26777,R33988
R38256,R34949
R52655,R75939
R57649,R71748
R33241,R12430
R82698,R85984
R90232,R56771
R77708,R99914
R46638,R99148
R67106,R10151
R72037,R91822
R97789,R87882
R24867,R89049
R41719,R19933
R48682,R17840
R56765,R21483
R17797,R12937
R31724,R75421
R45840,R34676
R77343,R63768
R63290,R53762
R82189,R15861
R84363,R53469
R82287,R89101
R79383,R64124
R39189,R92564
R15482,R52760
R84944,R41569
R77482,R88057
R52338,R69477
R10200,R18823
R11177,R36450
R15573,R66322
R17850,R19768
R62995,R30558
R44178,R25425
R81365,R15587
R89349,R34101
R47787,R53629
R29070,R23326
R11266,R51593
R16814,R74893
R46262,R28807
R66039,R42233
R57739,R51514
R77462,R51733
R61488,R21590
R84894,R71923
R41175,R16353
R34878,R41563
R48533,R70162
R38959,R91768
R73605,R46261
R34181,R25230
R55589,R43778
R39997,R56741
R57967,R38166
R44840,R63468
R93596,R88864
R12575,R79754
R50507,R88660
R95694,R69871
R45472,R61392
R40732,R98874
R36899,R47708
R69077,R51000
R26758,R44455
R71765,R33244
R10975,R41099
R17338,R77037
R19008,R61422
R65675,R45283
R16343,R48822
R11709,R70488
R72307,R38445
R60408,R37236
R24638,R58950
R44953,R26432
R26446,R47948
R55738,R24067
R68586,R75167
R60353,R60354
R40807,R18425
R44802,R72158
R73832,R60219
R50598,R78653
R11932,R60547
R88182,R70808
R70959,R19286
R62042,R77759
R57542,R51965
R23055,R61692
R95834,R85264
R35341,R31898
R54425,R65219
R14145,R22815
R20868,R60791
R31622,R97560
R61101,R32771
R93412,R94615
R63307,R81568
R80074,R31651
R30781,R93911
R57694,R50288
R78322,R86453
R72039,R63052
R42325,R48152
R24018,R28582
R87754,R62883
R97971,R66651
R46309,R35263
R65295,R63298
R76519,R53821
R34500,R29293
R43141,R17471
R36186,R56651
R70228,R57323
R83709,R82878
R79729,R95497
R17916,R90139
R25885,R51210
R66418,R53721
R35444,R36779
R84251,R67649
R60431,R85839
R86036,R50146
R31207,R62075
R28776,R11836
R62063,R52450
R20046,R80104
R29066,R64854
R72040,R46772
R37483,R13835
R95398,R90337
R52959,R95548
R60228,R32881
R73088,R56857
R17176,R11825
R67236,R66820
R61868,R58633
R17277,R46187
R97939,R26852
R66397,R56907
R20007,R43083
R31276,R84488
R77631,R51818
R39955,R79465
R62050,R38857
R49551,R72457
R14085,R43139
R39204,R71663
R20454,R12113
R35190,R73290
R45556,R81797
R20176,R42137
R87358,R99818
R17098,R58967
R21444,R23102
R91627,R69994
R65199,R18005
R34391,R43279
R92563,R52454
R85552,R82675
R66151,R83141
R81675,R46312
R97397,R24442
R40767,R98544
R32109,R66934
R25169,R41633
R23878,R13772
R70719,R48124
R59027,R93798
R67112,R64678
R12619,R39112
R95736,R75997
R81833,R80056
R58745,R97697
R91780,R13478
R52418,R31336
R13920,R13791
R16777,R48653
R46548,R97124
R47330,R43255
R24977,R88521
R49658,R30551
R13793,R85907
R20683,R86138
R45997,R22545
R82107,R53038
R52798,R35668
R96475,R22060
R96009,R53982
R55789,R70258
R85992,R57984
R68355,R89136
R21769,R72729
R15812,R84122
R43381,R44456
R53875,R61904
R14250,R83587
R34080,R98281
R70929,R69031
R92051,R17463
R71565,R49448
R33456,R83524
R15878,R24888
R14174,R39258
R97790,R10336
R73673,R55377
R60858,R88765
R11069,R93810
R68331,R16910
R47420,R60478
R98040,R55277
R47429,R33677
R75362,R96211
R83479,R87490
R52730,R21928
R82941,R90339
R60471,R27494
R98664,R37813
R38811,R30222
R42762,R97451
R17029,R54404
R64253,R36243
R38593,R96322
R98114,R53229
R74538,R18019
R93861,R71670
R46051,R98811
R84853,R68036
R55276,R99695
R32052,R57279
R45735,R78433
R99298,R40306
R20656,R79499
R67860,R81272
R50300,R41606
R72760,R89698
R72658,R87986
R55127,R83775
R24722,R16854
R71189,R47644
R50948,R35504
R34474,R76013
R66072,R93369
R80264,R15031
R49115,R14295
R76337,R93616
R31159,R18423
R20382,R30832
R17082,R11486
R31296,R31333
R62317,R60739
R37152,R68983
R82804,R45014
R16753,R48087
R20301,R95467
R32815,R10548
R26109,R10969
R25077,R75614
R11404,R89840
R10575,R99284
R41230,R50251
R61560,R22455
R35534,R59699
R65930,R21339
R71638,R35172
R42073,R20578
R86979,R96078
R80976,R91618
R99617,R35593
R88585,R36616
R42345,R49223
R17544,R22776
R29055,R78451
R84922,R22150
R39838,R22658
R20014,R20833
R74187,R70683
R51257,R42080
R71505,R17571
R10093,R77612
R91460,R88987
R10057,R17255
R95951,R16781
R82926,R75109
R48138,R12625
R58152,R89091
R35665,R69444
R73074,R59587
R23252,R79927
R43828,R24516
R21311,R24886
R39271,R64332
R11511,R11143
R12225,R13980
R70230,R24698
R42948,R97552
R50461,R33832
R77991,R67597
R45920,R13144
R49981,R11154
R79331,R17038
R91646,R69667
R21685,R71403
R30399,R50748
R63849,R77982
R93586,R96785
R81228,R37951
R95030,R53818
R84934,R14813
R76943,R18258
R96232,R82738
R35464,R93415
R59716,R50395
R32209,R51718
R21247,R23917
R78014,R37297
R78166,R60078
R11005,R72313
R62716,R89510
R85119,R76367
R41268,R42216
R73066,R48340
R48166,R86021
R73890,R58195
R34527,R68262
R17891,R83428
R89409,R99819
R29660,R54048
R81366,R44854
R73899,R49018
R39958,R59878
R73407,R84126
R44452,R19761
R58687,R71118
R44668,R51357
R52524,R97373
R45232,R81083
R39822,R70237
R95012,R82520
R85276,R41509
R28605,R38386
R39390,R62755
R49708,R98182
R40420,R20887
R65768,R25532
R89152,R72952
R38100,R65363
R70164,R23641
R76106,R18151
R17777,R48232
R16888,R54576
R40889,R56000
R22431,R14219
R85684,R36745
R18108,R97342
R93811,R88985
R62307,R73572
R76026,R16145
R79624,R35152
R96519,R71056
R64688,R46006
R61518,R76040
R38353,R61034
R34194,R88748
R92361,R78827
R48943,R56085
R61401,R16162
R28568,R38681
R37471,R72123
R66583,R48496
R30032,R54906
R71432,R20482
R30351,R15045
R87365,R57107
R57744,R45863
R95677,R11000
R66153,R52993
R22717,R46260
R83855,R30133
R92282,R87855
R28645,R99178
R47727,R20238
R68151,R19536
R94135,R80725
R21171,R47501
R49370,R31994
R33018,R69661
R71246,R44276
R51945,R84600
R13194,R96778
R49691,R49739
R54018,R10405
R36400,R35641
R39803,R68016
R14952,R72020
R27372,R40366
R92338,R37055
R93623,R97149
R62988,R96960
R16328,R74533
R26957,R20944
R49852,R58680
R97225,R47116
R69921,R93693
R99561,R33503
R92158,R11015
R34004,R76486
R93038,R58039
R83436,R90970
R79968,R73157
R67952,R30461
R97798,R54925
R56769,R34261
R78694,R77283
R33692,R59912
R19769,R22841
R22797,R48555
R96011,R32074
R57093,R67004
R16696,R85262
R46535,R22016
R45190,R45721
R85800,R13261
R97607,R42373
R45308,R17547
R27469,R85971
R68258,R49268
R24812,R90566
R37329,R66158
R87844,R65819
R66703,R72624
R11255,R70132
R18984,R40617
R59050,R37638
R27127,R52659
R70003,R16462
R54249,R68394
R44308,R90179
R60971,R24116
R90937,R54113
R19596,R60712
R32969,R67639
R18321,R36152
R54860,R85790
R98105,R65845
R82778,R73860
R85236,R54602
R54550,R86601
R36289,R74352
R98091,R69895
R67407,R78497
R17742,R11620
R19868,R93166
R78414,R99871
R42077,R21521
R55972,R69428
R49889,R72844
R80797,R76408
R74280,R97714
R85812,R20638
R79791,R96288
R65612,R13126
R10906,R79828
R46824,R30809
R60731,R70165
R99498,R41625
R12666,R89637
R63327,R15896
R78185,R21753
R63155,R83464
R50719,R38114
R59319,R48041
R33091,R76318
R28406,R61902
R42511,R28254
R83196,R88000
R49408,R41422
R71885,R20592
R71373,R86957
R61411,R78425
R85282,R55890
R55443,R32491
R42915,R21250
R68940,R86685
R81451,R86257
R38171,R57248
R10153,R27491
R52483,R68076
R66395,R27200
R58406,R25095
R41407,R36699
R44529,R83175
R62771,R41645
R84419,R48209
R46340,R41676
R42291,R72741
R31927,R67429
R96255,R39879
R79496,R35299
R12431,R93885
R35649,R54551
R16582,R35863
R61310,R63332
R66836,R42081
R86763,R75895
R94828,R23574
R31575,R96797
R73621,R42280
R74712,R28990
R15528,R27060
R94638,R45540
R36382,R65545
R91162,R35851
R84495,R68045
R99054,R93743
R90316,R18366
R62554,R61348
R42956,R21711
R66497,R49566
R81829,R38759
R89501,R24617
R98098,R60337
R36482,R58795
R62264,R11200
R43402,R47299
R25568,R24356
R34166,R41546
R49513,R11828
R54426,R48971
R12881,R68746
R93766,R77533
R44423,R35386
R12876,R37653
R91138,R68824
R82721,R17536
R75381,R68765
R79641,R27330
R48646,R81147
R59403,R38128
R30774,R84106
R31080,R35348
R82635,R67306
R41528,R78129
R55259,R29367
R87110,R42979
R48112,R27288
R80354,R44578
R21825,R13223
R57535,R22665
R28560,R24027
R78259,R91793
R92740,R91668
R76641,R13176
R80539,R15488
R23827,R61438
R44177,R70703
R32919,R10380
R43960,R14203
R51569,R91419
R18229,R37541
R57989,R63045
R72286,R75536
R93195,R14371
R12560,R61779
R43553,R29982
R38514,R34600
R38025,R87997
R91347,R99634
R70092,R70072
R65535,R73704
R31627,R69174
R91268,R79381
R84340,R74797
R66494,R91663
R44117,R65409
R17124,R88501
R81631,R47526
R91311,R96522
R30869,R21894
R22787,R63452
R95898,R48170
R79316,R11841
R13215,R69953
R52731,R95947
R73387,R20247
R26735,R94989
R82602,R92986
R30319,R49358
R26818,R29187
R83543,R27758
R40709,R93626
R25831,R16963
R11327,R24685
R91411,R84769
R51785,R70039
R11745,R97169
R77756,R20542
R89863,R37275
R96795,R51122
R67058,R30964
R27597,R93173
R56622,R99792
R47072,R75754
R41244,R93088
R61166,R16454
R67036,R26250
R95179,R28073
R93375,R17178
R64756,R37884
R51410,R86674
R59559,R19784
R42310,R17324
R90987,R83107
R85411,R38497
R27577,R30059
R13343,R47705
R27278,R18794
R34402,R56079
R67946,R20205
R51062,R22421
R55621,R99365
R39031,R97026
R62119,R30371
R84676,R75024
R17332,R61570
R45268,R50470
R63139,R77083
R43493,R57438
R55137,R66714
R85612,R59486
R91374,R87616
R98889,R72355
R67861,R78023
R94728,R57153
R98044,R41084
R28972,R10941
R33767,R40618
R17774,R32657
R15859,R38481
R23276,R35333
R83879,R97349
R34662,R68232
R47962,R80405
R92987,R27110
R76656,R93691
R84978,R34514
R42463,R13153
R88416,R45979
R32151,R75274
R10716,R66019
R24390,R26422
R21193,R91181
R98410,R48840
R28572,R83498
R39851,R99478
R58758,R16182
R61863,R28753
R81687,R37555
R86409,R74833
R21834,R16633
R61594,R89992
R23232,R62831
R90004,R36959
R83255,R66716
R96001,R22130
R93892,R24459
R47427,R88938
R28027,R65652
R18172,R61465
R68979,R41852
R93143,R25337
R15230,R33045
R75679,R22836
R33135,R70744
R10755,R43739
R82172,R18411
R62829,R78141
R60486,R12671
R47238,R40528
R32608,R10331
R40259,R86635
R88070,R50521
R18632,R60494
R58509,R85664
R16890,R74308
R22369,R91608
R18606,R34671
R66802,R34967
R21071,R82489
R84285,R23172
R16424,R98579
R69008,R67930
R49412,R55907
R83121,R19111
R21746,R62478
R22266,R83170
R68634,R39575
R27332,R34488
R43984,R60679
R97240,R53726
R76610,R84328
R26964,R54081
R57561,R72712
R78615,R58426
R96889,R68683
R59804,R93039
R73550,R51405
R69242,R12021
R57335,R85773
R40442,R74649
R42672,R30261
R48632,R54614
R81048,R12471
R95423,R22494
R63301,R98433
R51628,R56594
R76725,R26221
R84777,R79556
R42613,R21649
R41147,R73734
R69487,R11837
R27044,R58211
R18461,R30640
R19035,R44706
R77261,R80484
R20069,R36958
R44708,R54092
R70639,R13903
R76215,R15392
R76175,R20792
R95099,R11205
R23926,R41943
R85143,R71763
R67108,R90364
R64743,R32764
R83842,R54763
R75729,R89184
R11465,R26771
R61135,R27169
R15252,R50087
R32728,R97886
R41259,R49932
R15449,R91235
R42406,R83389
R73143,R18522
R89751,R96935
R99350,R89310
R65464,R72722
R43366,R47227
R62279,R11665
R39099,R80917
R72830,R40511
R43633,R99250
R76427,R30429
R93949,R55770
R54638,R95441
R71365,R84791
R84019,R30292
R61622,R62654
R85908,R44471
R87773,R26728
R48959,R82817
R25580,R74931
R17233,R17131
R47500,R58411
R11741,R93178
R28082,R25254
R66967,R40953
R16052,R67238
R56577,R71120
R48032,R73565
R94694,R70398
R77130,R32279
R74539,R57846
R75348,R64458
R34871,R62887
R35787,R55561
R58912,R21038
R82074,R45352
R63869,R26576
R23509,R85195
R42250,R62626
R75854,R14635
R54090,R17138
R25041,R14901
R73109,R97198
R74889,R30194
R99989,R45189
R64492,R46814
R44886,R89846
R12831,R83351
R37385,R36981
R53768,R69258
R17775,R91926
R17342,R99791
R70597,R93024
R33964,R60959
R96857,R29310
R55827,R31956
R14035,R82687
R31083,R77503
R48992,R38808
R89328,R75138
R14894,R47788
R53132,R14741
R89700,R99661
R95431,R59721
R67260,R40505
R55663,R37090
R85623,R96400
R90840,R11948
R96483,R89899
R11861,R55594
R50737,R47655
R54093,R28962
R21803,R96484
R73936,R82889
R81947,R69441
R14234,R57840
R48248,R31500
R95606,R75176
R64227,R86788
R74076,R36109
R82314,R27178
R79044,R77118
R61801,R87654
R94098,R45904
R99806,R96321
R69069,R72534
R84396,R96850
R60320,R85080
R60224,R37784
R11943,R13568
R50349,R18373
R11236,R62159
R83252,R92695
R67891,R95968
R18339,R23495
R84891,R91396
R39321,R83098
R60493,R11185
R55842,R74036
R77127,R63952
R97880,R56029
R74491,R56759
R12675,R19648
R86556,R98364
R92532,R61748
R39745,R93026
R22117,R49887
R94957,R46819
R78596,R80278
R90484,R30373
R51003,R21088
R11499,R34420
R68704,R53884
R16100,R99398
R37665,R51510
R88123,R38208
R33402,R87843
R46781,R68401
R39674,R31212
R45431,R30239
R89707,R36535
R63207,R61798
R67251,R74370
R39318,R14581
R18795,R54218
R84132,R54361
R51093,R56691
R99519,R68548
R66110,R77441
R27133,R51016
R50363,R85661
R47056,R56499
R47581,R32493
R14060,R39170
R78489,R15907
R54886,R63223
R91893,R93525
R58339,R69845
R79812,R90683
R93271,R84953
R82846,R88005
R76303,R25436
R26581,R12608
R51179,R38700
R96534,R77825
R53780,R10060
R59113,R41761
R27303,R15067
R94045,R64748
R39064,R57738
R59485,R58048
R11430,R31246
R26074,R11227
R37817,R99835
R45819,R97584
R73883,R99155
R85953,R73982
R80071,R17864
R94495,R30114
R13600,R46191
R75267,R42680
R66858,R90487
R67040,R27521
R91309,R90693
R68812,R92668
R38798,R93372
R60900,R26317
R22608,R64339
R46567,R13012
R22527,R34197
R80486,R62732
R57757,R78552
R19017,R26706
R13895,R49964
R69618,R72515
R28831,R29500
R94742,R79769
R16085,R22420
R98775,R61568
R21937,R89215
R69788,R76004
R79877,R64444
R42232,R83238
R87792,R13596
R74774,R13222
R39981,R98960
R20900,R97984
R32653,R87077
R49876,R89584
R79957,R45405
R92239,R41736
R91998,R83322
R33685,R16711
R97088,R59977
R32106,R33421
R96756,R39275
R17809,R64343
R76305,R94205
R34221,R42287
R22581,R63049
R40841,R36498
R80833,R11786
R41562,R77044
R28091,R76964
R71807,R99138
R32912,R95300
R57636,R28859
R26158,R49879
R77831,R88651
R35043,R37556
R59669,R22978
R33330,R95642
R58787,R56364
R50549,R62232
R39328,R40204
R46307,R88078
R52868,R24404
R67826,R35146
R57269,R50481
R39217,R23892
R63956,R71206
R83776,R71308
